fileName,vidLen,valence,arousal,impact,group
594.5_-_I_HAD_A_BAD_SEIZURE_ON_MARCH_15TH_-_ED.mp4,14.734,2.8485,6.2069,6.4,sad
629.3-Las_Vegas_Shooting_Watch_Cop's_Body_Cam_of_Dramatic_Chase-ED.mp4,15,2.625,6.8841,6.0377,sad
794.5-MONEY-ED.mp4,5.834,2.9107,6.1818,5.8571,sad
600.4_-_Injecting_Speedball_-_Crack_&_Heroin-_ED.mp4,14.967,2.1905,5.9111,6.1818,sad
696.3-Eggnog_Gallon_Challenge_WARNING!_Projectile_Vomiting-ED.mp4,3.234,2.6167,5.619,5.3906,sad
533.3-Too_Late-ED.mp4,5.367,2.4179,6.2727,5.8358,sad
691.4-Russia_-_Man_Left_Dying_on_Smolensk_Hospital_Floor_Waiting_For_Help-ED.mp4,9,2.3934,5.7797,5.0923,sad
750-Blood in the Drain-ED.mp4,10.032,2.037,5.8056,5.3333,sad
895-People Throwing fire-ED.mp4,3.135,2.84,6.4348,5.5357,sad
586-Plano Accident on Bike-ED.mp4,11.782,2.5833,6.8966,6.7576,sad
696.2-Eggnog_Gallon_Challenge_WARNING!_Projectile_Vomiting-ED.mp4,3.467,2.5238,6,6.68,sad
567-Hawaii Plane Crash Caught on Tape-ED2.mp4,7.367,2.8235,6.0833,6.2973,sad
570.1-Teen with Broom Saves Children from Dog Attack-ED.mp4,7.158,2.1905,6.6667,5.325,sad
461.2-Spider_Surprise-ED.mp4,15.634,2.2069,5.4872,5.2381,sad
794.2-MONEY-ED.mp4,8.2,2.3871,6.1111,6.44,sad
428.4-Police_Academy_6_(featuring_Raw_Moans)_-_The_Chills-ED.mp4,4.867,2.7895,5.52,5.1897,sad
460.2-Bloody_Knife_and_Hand_Stabbing-ED2.mp4,6.767,2.4091,5.6667,5.5769,sad
926-Close Up Shot of Medical Professionals Hand Holding a Positive COVID Test Tube Result-ED.mp4,10.606,2.3462,5.08,3.6296,sad
691.5-Russia_-_Man_Left_Dying_on_Smolensk_Hospital_Floor_Waiting_For_Help-ED.mp4,9,2.9722,6.5517,6.2963,sad
535.9-Angry-ED.mp4,9.634,2.9444,5.0625,5.25,sad
526.2-Monster_(EXPLICIT)-ED2.mp4,5.834,2.7273,5.8125,4.9333,sad
533.4-Too_Late-ED.mp4,4.167,2.459,5.7358,5.0588,sad
424.5-Joplin_House_Fire_11-15-2014-ED.mp4,17.1,2.7174,6.3243,4.9615,sad
532.3-The_Ambulance-ED.mp4,7,2.3286,5.6349,5.623,sad
631-Glasses Cam Captures Shocking Moment US Police Officer Shot in Neck-ED.mp4,9.718,2.8333,6.9444,5.5357,sad
599.2_-_Street_Heroin_Optimal_Preparation_and_Injection_-_ED.mp4,15,2.8378,6.7857,6.0909,sad
457-Abstract blood and gore - horror elements-ED.mp4,17.476,2.7222,5.8605,5.7778,sad
690.1-A Patient Discusses Her Decision to Seek Medical Assistance In Dying-ED.mp4,6.035,2.475,4.2609,6.561,sad
